,name,party,email
0,Abilio Brunini, PL,dep.abiliobrunini@camara.leg.br
1,Acácio Favacho, MDB,dep.acaciofavacho@camara.leg.br
2,Adail Filho, REPUBLICANOS,dep.adailfilho@camara.leg.br
3,Adolfo Viana, PSDB,dep.adolfoviana@camara.leg.br
4,Adriana Ventura, NOVO,dep.adrianaventura@camara.leg.br
5,Adriano do Baldy, PP,dep.adrianodobaldy@camara.leg.br
6,Aécio Neves, PSDB,dep.aecioneves@camara.leg.br
7,Afonso Hamm, PP,dep.afonsohamm@camara.leg.br
8,Afonso Motta, PDT,dep.afonsomotta@camara.leg.br
9,Aguinaldo Ribeiro, PP,dep.aguinaldoribeiro@camara.leg.br
10,Airton Faleiro, PT,dep.airtonfaleiro@camara.leg.br
11,AJ Albuquerque, PP,dep.ajalbuquerque@camara.leg.br
12,Alberto Fraga, PL,dep.albertofraga@camara.leg.br
13,Alberto Mourão, MDB,dep.albertomourao@camara.leg.br
14,Albuquerque, REPUBLICANOS,dep.albuquerque@camara.leg.br
15,Alceu Moreira, MDB,dep.alceumoreira@camara.leg.br
16,Alencar Santana, PT,dep.alencarsantana@camara.leg.br
17,Alex Manente, CIDADANIA,dep.alexmanente@camara.leg.br
18,Alex Santana, REPUBLICANOS,dep.alexsantana@camara.leg.br
19,Alexandre Guimarães, REPUBLICANOS,dep.alexandreguimaraes@camara.leg.br
20,Alexandre Leite, UNIÃO,dep.alexandreleite@camara.leg.br
21,Alexandre Lindenmeyer, PT,dep.alexandrelindenmeyer@camara.leg.br
22,Alfredinho, PT,dep.alfredinho@camara.leg.br
23,Alfredo Gaspar, UNIÃO,dep.alfredogaspar@camara.leg.br
24,Alice Portugal, PCdoB,dep.aliceportugal@camara.leg.br
25,Aliel Machado, PV,dep.alielmachado@camara.leg.br
26,Altineu Côrtes, PL,dep.altineucortes@camara.leg.br
27,Amália Barros, PL,dep.amaliabarros@camara.leg.br
28,Amanda Gentil, PP,dep.amandagentil@camara.leg.br
29,Amaro Neto, REPUBLICANOS,dep.amaroneto@camara.leg.br
30,Amom Mandel, CIDADANIA,dep.amommandel@camara.leg.br
31,Ana Paula Leão, PP,dep.anapaulaleao@camara.leg.br
32,Ana Paula Lima, PT,dep.anapaulalima@camara.leg.br
33,Ana Pimentel, PT,dep.anapimentel@camara.leg.br
34,André Fernandes, PL,dep.andrefernandes@camara.leg.br
35,André Ferreira, PL,dep.andreferreira@camara.leg.br
36,André Figueiredo, PDT,dep.andrefigueiredo@camara.leg.br
37,André Janones, AVANTE,dep.andrejanones@camara.leg.br
